id,code,name
waypay1,01,Efectivo
waypay2,02, Cheque nominativo
waypay3,03, Transferencia electrónica de fondos
waypay4,04, Tarjeta de Crédito
waypay5,05, Monedero electrónico
waypay6,06, Dinero electrónico
waypay7,08, Vales de despensa
waypay8,12, Dación en pago
waypay9,13, Pago por subrogación
waypay10,14, Pago por consignación
waypay11,15, Condonación
waypay12,17, Compensación
waypay13,23, Novación
waypay14,24, Confusión
waypay15,25, Remisión de deuda
waypay16,26, Prescripción o caducidad
waypay17,27, A satisfacción del acreedor
waypay18,28, Tarjeta de débito
waypay19,29, Tarjeta de servicios
waypay20,30, Aplicación de anticipos
waypay21,99, Por definir
